id,topic_key,topic_label,text,option_1,option_2,option_3,option_4,correct_index,explanation,time_limit_seconds
q14,pollination,Impollinazione,Perché la diversità floreale durante l'anno è importante per le api?,Per aumentare solo la produzione di cera,Per garantire fonti continue di nettare e polline,Per ridurre il numero di colonie,Per evitare la sciamatura,1,Fioriture scalari forniscono alle api risorse alimentari durante tutta la stagione.,25
q15,pollination,Impollinazione,Quale sintomo può indicare un'avvelenamento acuto da pesticidi in un apiario?,Api calme all'ingresso,Crescita di nuova covata,Api morte in gran numero davanti all'alveare,Maggiore raccolta di polline,2,Un accumulo di api morte davanti agli alveari può indicare avvelenamento acuto.,25
q16,hive_management,Gestione dell'alveare,Che cos'è la sciamatura in apicoltura?,La raccolta del miele,La morte della regina,La sostituzione dei telaini vecchi,La divisione naturale della colonia in due gruppi,3,"La sciamatura è la divisione naturale della colonia, con una parte delle api che segue una nuova regina.",25
q17,hive_management,Gestione dell'alveare,Quale pratica aiuta a prevenire la sciamatura indesiderata?,Aggiungere melari o telaini per aumentare lo spazio,Stringere l'alveare e ridurre lo spazio,Sospendere tutte le ispezioni,Eliminare le scorte di miele,0,Fornire spazio aggiuntivo alla colonia riduce la congestione e il rischio di sciamatura.,25
q18,hive_management,Gestione dell'alveare,Quale parassita è uno dei problemi principali per le colonie di api mellifere in Europa?,Mosca domestica,Varroa destructor,Cimice asiatica,Afide verde,1,Varroa destructor è un acaro parassita che indebolisce le colonie se non viene controllato.,25
q19,hive_management,Gestione dell'alveare,Perché è importante rinnovare periodicamente i telaini con cera vecchia?,Per aumentare il peso dell'alveare,Per diminuire la produzione di covata,Per ridurre residui e patogeni accumulati nella cera,Per facilitare la sciamatura,2,La cera vecchia può accumulare residui e spore; rinnovarla migliora la sanità dell'alveare.,25
q20,hive_management,Gestione dell'alveare,Cosa indica generalmente una covata compatta e uniforme?,Una regina vecchia e difettosa,Una forte presenza di varroa,Una carenza di nutrimento,Una buona qualità di regina e colonia sana,3,Una covata compatta è spesso segno di una regina fertile e di una colonia ben gestita.,25
q21,hive_management,Gestione dell'alveare,Quale comportamento può indicare che una colonia è orfana (senza regina)?,Api che ventilano e sono agitate,Calma e volo regolare,Maggiore raccolta di nettare,Formazione di barbe di api all'esterno,0,Le colonie orfane spesso mostrano agitazione e un ronzio più forte rispetto alla norma.,25
q22,bee_products,Prodotti dell'alveare,Che cos'è il miele millefiori?,Miele prodotto solo da fiori di tiglio,Miele ottenuto da nettare di molte specie floreali,Miele prodotto da fiori di agrumi,Miele senza polline,1,Il miele millefiori deriva da nettare raccolto su molte specie di piante diverse.,20
q23,bee_products,Prodotti dell'alveare,Quale componente principale rende il miele un alimento ad alta densità energetica?,Proteine,Grassi,Carboidrati (zuccheri),Vitamine,2,"Il miele è ricco di zuccheri semplici, soprattutto fruttosio e glucosio.",20
q24,bee_products,Prodotti dell'alveare,Che cos'è la propoli?,Un tipo di miele cristallizzato,Un parassita della covata,Un sostituto dello zucchero,Una sostanza resinosa raccolta dalle api per sigillare e disinfettare l'alveare,3,La propoli è una sostanza resinosa che le api usano per sigillare fessure e sanificare l'alveare.,25
q25,bee_products,Prodotti dell'alveare,Quale prodotto dell'alveare è ricco di proteine e viene utilizzato come integratore?,Polline,Cera d'api,Miele,Acqua,0,"Il polline d'api è ricco di proteine, vitamine e altri nutrienti.",20
q26,bee_products,Prodotti dell'alveare,"Cosa caratterizza un miele monoflora (es. acacia, castagno)?",È prodotto in un solo alveare,Deriva prevalentemente dal nettare di una singola specie vegetale,Non contiene polline,Non cristallizza mai,1,Un miele monoflora deriva in gran parte dal nettare di una singola specie di pianta.,20
q27,bee_products,Prodotti dell'alveare,Perché il miele cristallizza?,Perché diventa vecchio,Per presenza di acqua piovana,"Per la naturale precipitazione degli zuccheri, soprattutto glucosio",Perché è stato riscaldato,2,La cristallizzazione è un processo naturale legato al rapporto tra glucosio e fruttosio.,25
q28,bee_products,Prodotti dell'alveare,Che cos'è la pappa reale?,Il primo miele prodotto dalle api,Un tipo di cera particolarmente pura,Un parassita della regina,La secrezione con cui le api nutrono le larve e la regina,3,La pappa reale è una secrezione delle ghiandole ipofaringee usata per nutrire larve e regina.,25
q29,hive_management,Gestione dell'alveare,Quale attrezzatura è fondamentale per la sicurezza dell'apicoltore?,Tuta o giacca e maschera di protezione,Scarpe aperte,Guanti in lana,Occhiali da sole,0,"La tuta o giacca con velo protegge da punture, soprattutto sul viso e sul corpo.",20
q30,hive_management,Gestione dell'alveare,Perché si utilizza l'affumicatore durante le ispezioni?,Per allontanare le api dall'alveare,Per calmare le api,Per riscaldare il miele,Per disinfettare i telaini,1,"Il fumo maschera i feromoni di allarme e induce le api a riempirsi di miele, rendendole più calme.",20
q31,hive_management,Gestione dell'alveare,Quale tra questi è un comportamento rispettoso verso le api durante la visita?,Colpire i telaini per far volare le api,Togliere il velo per vedere meglio,"Movimenti lenti e decisi, evitando colpi",Usare profumi intensi,2,Movimenti lenti e controllati riducono lo stress e l'aggressività delle api.,20
q32,hive_management,Gestione dell'alveare,Cosa indica una forte presenza di celle reali lungo i bordi dei telaini?,Solo sostituzione silenziosa della regina,Assenza di varroa,Alveare orfano da mesi,Probabile preparazione alla sciamatura,3,Molte celle reali sul bordo inferiore sono spesso associate a sciamatura imminente.,25
q33,bee_products,Prodotti dell'alveare,Quale colore del miele è tipico degli mieli di acacia italiani?,Molto chiaro quasi trasparente,Molto scuro,Verde,Rosso intenso,0,"Il miele di acacia è noto per il colore molto chiaro, quasi incolore.",20
q34,hive_management,Gestione dell'alveare,Perché è utile marcare la regina con un colore?,Perché sia più decorativa,Per individuarla più facilmente e conoscere l'anno di nascita,Per aumentare la produzione di miele,Perché non possa volare,1,Il colore di marcatura segue un codice internazionale per identificare l'anno e facilita il ritrovamento della regina.,25
q35,pollination,Impollinazione,Quale tra questi fattori contribuisce maggiormente alla perdita di habitat per gli impollinatori?,Aumento dei prati fioriti,Introduzione di siepi e filari,Intensificazione agricola e monocolture,Riduzione dell'uso del suolo,2,Le monocolture e l'eliminazione di elementi naturali riducono habitat e risorse per gli impollinatori.,30
q36,pollination,Impollinazione,Come possono contribuire i giardini urbani alla tutela delle api?,Usando solo prato rasato,Rimuovendo tutte le piante spontanee,Illuminando fortemente le piante di notte,Coltivando fiori melliferi e evitando pesticidi inutili,3,Giardini con fiori melliferi e pochi trattamenti chimici offrono rifugio e nutrimento alle api.,25
q37,hive_management,Gestione dell'alveare,Perché è importante monitorare regolarmente lo stato delle colonie?,"Per individuare precocemente problemi di salute, spazio o nutrizione",Per aumentare il numero di punture,Solo per controllare la quantità di miele,Per disturbarle e ridurre la covata,0,"Ispezioni regolari permettono di intervenire in tempo su varroa, fame, orfanità e congestione.",25
q38,bees,Le api,"Nel linguaggio delle foraggere, cosa comunica soprattutto la durata del tratto rettilineo ('corrida') nella danza a otto?",Solo la ricchezza di polline,La distanza approssimativa della fonte di cibo,L'età della regina,Il colore del fiore,1,La durata del tratto rettilineo è correlata alla distanza della risorsa; l’angolo rispetto alla verticale indica la direzione.,25
q39,bees,Le api,Le operaie riconoscono le compagne della stessa colonia principalmente grazie a:,Solo alla lunghezza delle ali,Il rumore del volo,Profilo cuticolare e feromoni,La temperatura corporea,2,Le api discriminano le conspecifiche tramite miscela di idrocarburi cuticolari e altri segnali chimici.,25
q40,bees,Le api,Cos'è la trofallassi tra operaie?,Deposizione di uova,Combattimento tra casta,Costruzione di cera,Scambio di liquidi alimentari e informazioni,3,La trofallassi è la trasmissione bocca a bocca di cibo e può coinvolgere anche segnali ormonali.,25
q41,bees,Le api,Le operaie addette alla pulizia del nido e alla rimozione dei cadaveri sono spesso chiamate:,Spazzine,Foraggere,Nutrici,Cerifere,0,Le spazzine trasportano fuori corpi morti e detriti per mantenere l’igiene del nido.,25
q42,bees,Le api,La danza rotonda comunica in genere:,Una fonte molto lontana,Una fonte vicina all'alveare,Un pericolo imminente,La fine della stagione,1,Per risorse prossime all’alveare le api usano spesso la danza rotonda; per distanze maggiori prevale la danza a otto.,25
q43,bees,Le api,Le api ventilano il nido battendo le ali per:,Deporre uova,Costruire cera,Ridurre CO2 e regolare temperatura/umidità,Accoppiarsi,2,"La ventilazione è fondamentale per scambi gassosi e termoregolazione, soprattutto con covata densa.",25
q44,bees,Le api,Un volo di orientamento delle giovani operaie serve soprattutto a:,Deporre polline,Eliminare la regina,Produrre propoli,Imparare la posizione dell'alveare rispetto al paesaggio,3,Prima del foraggio effettivo le operaie effettuano voli di orientamento per memorizzare riferimenti visivi e odori.,25
q45,bees,Le api,Le antenne dell'ape sono importanti soprattutto per:,Percezione chimica e tattile dell'ambiente,Solo equilibrio in volo,Emissione di cera,Digestione del polline,0,"Ricettori olfattivi e tattili sulle antenne guidano foraggio, riconoscimento sociale e valutazione dei fiori.",25
q46,bees,Le api,Un'ape foraggera che trova una buona fonte e torna al nido può reclutare compagne tramite:,Solo odor di propoli,Danze e contatto antennale,Solo fuco,Deposito di cera,1,"Oltre alla danza, contatti e condivisione di campioni odorosi aiutano a reclutare altre foraggere.",25
q47,bees,Le api,"In termini biologici, la sciamatura rappresenta soprattutto:",Perdita accidentale di api,Solo raccolta di polline,Riproduzione della colonia a livello di superorganismo,Malattia della covata,2,Lo sciame è il modo con cui una colonia si moltiplica: una parte delle api lascia con una regina verso una nuova sede.,25
q48,bees,Le api,"Dopo lo sciame principale, nella colonia madre restano tipicamente:",Solo fuchi,Sempre la vecchia regina,Nessuna covata,Operaie e celle reali con nuove regine in sviluppo,3,Nello sciame primario parte la vecchia regina con una frazione delle operaie; nel nido restano celle reali e nuove regime.,25
q49,bees,Le api,Le celle reali pendenti lungo il margine del favo sono destinate a:,Sviluppare nuove regime,Deporre uova di fuco,Conservare miele,Raccogliere polline,0,Le celle reali contengono larve femminili nutrite abbondantemente per diventare regine vergini.,25
q50,bees,Le api,"In clima temperato, la sciamatura naturale è più frequente in genere:",In pieno inverno,Tarda primavera / inizio estate,Solo in autunno secco,Durante la neve,1,"Con forte covata e risorse disponibili, la propensione allo sciame aumenta verso la bella stagione.",25
q51,bees,Le api,Una colonia molto popolosa e senza spazio sufficiente di covata tende a:,Estinguersi in giorni,Produrre solo cera senza covata,Aumentare il rischio di sciamatura,Perdere tutte le ali,2,Congestione e regina in buone condizioni favoriscono preparativi per lo sciame.,25
q52,bees,Le api,"Per ridurre sciami indesiderati l'apicoltore può, tra le altre cose:",Chiudere per mesi il volo,Eliminare tutta la covata,Togliere tutte le operaie anziane,"Dare spazio (melari/telai), dividere o gestire celle reali",3,"Spazio, giovane regina e gestione delle celle reali sono leve classiche di prevenzione.",25
q53,bees,Le api,Il volo nuziale della regina vergine serve a:,Accoppiarsi con più fuchi in volo,Deporre subito uova fecondate senza accoppiamento,Solo ventilare il nido,Migrare in altro continente,0,La regina si accoppia tipicamente con più fuchi durante uno o più voli nuziali.,25
q54,bees,Le api,Una sciamatura secondaria può verificarsi quando:,Non esiste mai,Una nuova regina vergine esce con un nuovo sciame,Solo in laboratorio,Solo senza miele,1,"Dopo lo sciame primario, altre regime possono portare sciami secondari se la colonia resta molto forte.",25
q55,bees,Le api,Il feromone Nasonov secreto dalle operaie serve soprattutto a:,Uccidere la varroa,Cristallizzare il miele,Segnare orientamento verso sedi (es. ingresso alveare o sciame),Fermare la covata,2,Le operaie sollevano l’addome e diffondono Nasonov per guidare compagne verso una posizione.,25
q56,bees,Le api,Catturare uno sciame appollaiato su un ramo si fa di solito:,Spruzzando benzina,Lasciandolo sempre al sole fino a morte,Solo di notte senza mai aprire,Scuotendo o tagliando il ramo in un contenitore e trasferendo in arnia,3,Si usa un cestello/scatola sciame e si travasa con calma in arnia predisposta con telai.,25
q57,bees,Le api,"Uno ""sciame artificiale"" può essere creato per:",Moltiplicare colonie o rinfoltire nuclei,Aumentare le punture,Eliminare la propoli,Sostituire l'acqua piovana,0,La divisione controllata di telai con covata e api replica in parte il processo naturale.,25
q58,bees,Le api,Subito dopo l'ingresso di uno sciame in arnia nuova è buona norma:,Chiudere tutto per tre mesi,Controllare costruzione su telai/fondazione e nutrire se risorse scarse,Rimuovere la regina,Aggiungere solo fuchi,1,Le riserve e la costruzione di favo vanno monitorate per evitare fame e ripartenza dello sciame.,25
q59,hive_management,Gestione dell'alveare,Varroa destructor è un:,Virus intestinale,Fungo del favo,Acaro ectoparassita,Insetto predatore delle api,2,"La varroa si attacca alle api e alla covata, veicola virus e indebolisce la colonia.",25
q60,hive_management,Gestione dell'alveare,Ali deformi nelle operaie emergenti sono spesso correlate a:,Solo freddo notturno,Troppo miele chiaro,Solo mancanza di polline,Virus (es. DWV) in associazione a carica elevata di varroa,3,DWV e altri virus si moltiplicano nel ciclo varroa–ape e si manifestano con sintomi alare.,25
q61,hive_management,Gestione dell'alveare,Nosema apis / ceranae è:,Un microsporidio che colpisce l'intestino,Un acaro,Un batterio della covata,Un nematode,0,I Nosema sono patogeni unicellulari che possono ridurre la longevità e l’efficienza delle operaie.,25
q62,hive_management,Gestione dell'alveare,La calcificazione (chalkbrood) è dovuta a:,Batterio,Fungo Ascosphaera su larve,Acaro,Virus DWV,1,Le larve infette si momificano in masse gessose bianche o grigiastre.,25
q63,hive_management,Gestione dell'alveare,L'acaro delle trachee (Acarapis woodi) vive:,Nel miele,Solo sulle ali,Nel sistema tracheale delle api,Nel terreno,2,È un parassita interno meno comune di Varroa ma storicamente noto in apicoltura.,25
q64,hive_management,Gestione dell'alveare,"La ""sparizione"" massiccia di operaie (sindrome tipo CCD) è considerata in genere:",Dovuta a un solo virus identificato,Normale ogni primavera,Curabile solo con zucchero invertito,"Multifattoriale (patogeni, nutrizione, pesticidi, gestione…)",3,La letteratura scientifica descrive interazioni complesse più che una singola causa.,25
q65,hive_management,Gestione dell'alveare,La melata prodotta dagli afidi può favorire:,Sviluppo di muffe fuligginose sulle foglie,Crescita più lenta delle piante,Eliminazione della varroa,Cristallizzazione istantanea del miele,0,I funghi fuligginosi crescono sulle melate escrete su foglie e frutti.,25
q66,hive_management,Gestione dell'alveare,"Gli acidi organici contro varroa (es. formico, ossalico) vanno usati:",In qualsiasi momento senza leggere etichetta,"Seguendo scheda tecnica, dosi e limitazioni (covata, temperatura, residui)",Solo con colonie deboli,Solo a dicembre al polo sud,1,"Sicurezza per api, operatore e qualità dei prodotti dell’alveare dipende dal rispetto delle norme.",25
q67,hive_management,Gestione dell'alveare,L'affumicatore serve principalmente a:,Nutrire le api,Sterilizzare i telai,Calmare le api mascherando feromoni di allarme e inducendo carica di miele,Misurare la temperatura,2,Il fumo moderato riduce la probabilità di punture durante la manipolazione.,25
q68,hive_management,Gestione dell'alveare,Nell'affumicatore è opportuno bruciare materiali che:,Producano fiamma alta continua,Siano sempre impregnati di benzina,Siano solo plastica,Brucino lentamente senza tossicità per api e apicoltore,3,"Si usano paglia, cartone, trucioli specifici; evitare sostanze nocive o fumi troppo caldi.",25
q69,hive_management,Gestione dell'alveare,La leva serve a:,Sollevare telai incollati da propoli o cera,Tagliare la regina,Misurare il peso,Ventilare,0,Aiuta a non danneggiare i favi quando i telai aderiscono ai margini.,25
q70,hive_management,Gestione dell'alveare,Il velo o maschera apistica protegge soprattutto:,Solo le mani,Viso e collo,Solo i piedi,Solo i telai,1,Le punture a occhi e labbra sono particolarmente pericolose; il velo riduce il rischio.,25
q71,hive_management,Gestione dell'alveare,Un escludi-regina serve a:,Far entrare solo i fuchi,Riscaldare il melario,Impedire alla regina di salire a deporre uova nel melario,Bloccare il volo di tutte le api,2,Si ottiene miele senza covata (né uova/larve) nei telai da estrazione.,25
q72,hive_management,Gestione dell'alveare,La bilancia sotto arnia è utile per:,Contare le singole api,Misurare solo la regina,Decorazione,Monitorare peso e andamento di scorte/raccolta,3,"Curve di peso aiutano a decidere su nutrizione, raccolto e vigilanza sanitaria.",25
q73,hive_management,Gestione dell'alveare,"Registri di apiario (trattamenti, movimenti, produzione) sono importanti per:","Tracciabilità , normativa e buona gestione",Solo decoro,Nessun motivo,Solo vendere cera,0,In molti contesti sono richiesti o fortemente consigliati per sicurezza alimentare e sanità.,25
q74,hive_management,Gestione dell'alveare,Un fumo eccessivo o troppo caldo può:,Essere indifferente,Stressare o bruciare le api,Eliminare la varroa da solo,Sostituire la regina,1,Il fumo va dosato: poche puff mirate sono meglio di fumo denso e prolungato.,25
q75,bee_products,Prodotti dell'alveare,Il veleno d'ape contiene soprattutto:,Solo zucchero,Solo cera,"Peptidi come melittina, apamina e enzimi (es. fosfolipasi)",Nettare concentrato,2,È una complessa miscela bioattiva prodotta dalle ghiandole acido e alcalino.,25
q76,bee_products,Prodotti dell'alveare,Una reazione anafilattica a puntura di ape:,È sempre normale,Si cura solo con miele,Succede solo ai fuchi,È un'emergenza medica potenzialmente letale in soggetti sensibilizzati,3,Chi ha allergie note deve avere piano terapeutico; l’apicoltore deve conoscere i rischi.,25
q77,bee_products,Prodotti dell'alveare,La propoli per le api è soprattutto:,Resine vegetali raccolte e mescolate a secrezioni e cera,Un tipo di miele scuro,Polline pressato,Acqua di fiori,0,"Viene usata per sigillare, incollare e sanificare superfici nel nido.",25
q78,bee_products,Prodotti dell'alveare,La pappa reale è prodotta da:,La regina,Ghiandole delle operaie (ipofaringee e mandibolari),I fuchi,I fiori,1,È secreta dalle operaie e somministrata in dosi diverse a larve di casta diversa.,25
q79,bee_products,Prodotti dell'alveare,Il veleno d'ape per uso terapeutico o di laboratorio richiede:,Solo raccolta manuale con pinze,Nessuna cautela,Dispositivi e procedure specializzate e normative,Solo miele diluito,2,La raccolta e commercializzazione seguono regole stringenti per sicurezza e qualità.,25
q80,bee_products,Prodotti dell'alveare,"Dopo una puntura, la prima cosa utile è spesso:",Premere forte il veleno dentro,Applicare miele caldo obbligatoriamente,Ignorare sempre la reazione,Rimuovere rapidamente il pungiglione per ridurre l'iniezione,3,Il pungiglione può continuare a iniettare; raschiarlo via riduce il carico di veleno.,25
q81,bee_products,Prodotti dell'alveare,Il polline d'api come alimento umano è apprezzato per:,"Proteine, vitamine, minerali e fitocomposti",Solo grassi saturi,Assenza totale di zuccheri,Solo alcool,0,È considerato un superfood; attenzione a qualità e allergie.,25
q82,bee_products,Prodotti dell'alveare,L'apitossicazione massiccia (molte punture) può essere pericolosa perché:,Non inietta veleno,Somma dose di tossine e mediatori dell'infiammazione,Succede solo d'inverno,È solo estetica,1,"Anche in non allergici, molte punture possono dare shock tossico.",25
q83,bee_products,Prodotti dell'alveare,La melittina nel veleno d'ape è nota per:,Dolcificare il miele,Produrre cera,Proprietà lisante sulle membrane cellulari,Eliminare la covata,2,È uno dei principali peptidi citotossici del veleno.,25
q84,bees,Le api,Quale sostanza producono le api operaie giovani (età 5-15 giorni circa) dalle ghiandole ipofaringee per nutrire le larve?,Miele,Propoli,Pappa reale,Polline,2,Le ghiandole ipofaringee delle giovani operaie producono la pappa reale.,25
q85,bees,Le api,Le api hanno quanti stomaci?,1,2 (uno personale e uno sociale),3,4,1,"Lo stomaco sociale (borsa melaria) serve a trasportare nettare, lo stomaco personale digerisce.",25
q86,hive_management,Gestione dell'alveare,"La ""barba"" di api all'esterno dell'alveare in estate indica solitamente:",La colonia è orfana,La regina è morta da poco,Eccesso di calore e bisogno di ventilazione,Presenza di varroa elevata,2,Le api si dispongono a grappolo fuori per raffreddare l'alveare quando la temperatura interna è troppo alta.,25
q87,bee_products,Prodotti dell'alveare,La cera d'api viene prodotta dalle operaie dalle ghiandole situate:,Sulle antenne,Sul torace,Sull'addome (piastrine ceripare),Sulle zampe,2,Le ghiandole ceripare si trovano sul lato inferiore dell'addome delle operaie di 12-18 giorni circa.,25
q88,pollination,Impollinazione,Quale percentuale approssimativa della produzione alimentare mondiale dipende dall'impollinazione animale?,10%,35%,75%,95%,1,Circa un terzo del cibo che mangiamo dipende direttamente o indirettamente dagli impollinatori.,30
q90,bees,Le api,Quante uova può deporre una buona regina in una giornata di picco primaverile?,200-300,500-800,1000-2000,Più di 3000,2,Una regina giovane e ben nutrita può deporre fino a 1500-2000 uova al giorno.,25
q91,bee_products,Prodotti dell'alveare,"Il ""miele di manna"" o melata deriva principalmente da:",Nettare di fiori,Secrezioni di afidi e coccidi su piante,Polline raccolto,Acqua di rugiada,1,Le api raccolgono la melata (escrezioni zuccherine degli afidi) e la trasformano in miele scuro e ricco di minerali.,25
q94,bee_products,Prodotti dell'alveare,Qual è il limite massimo di umidità consigliato per un miele di buona conservazione?,14%,18%,22%,25%,1,"Un'umidità superiore al 18-18,5% aumenta notevolmente il rischio di fermentazione.",25
q95,bee_products,Prodotti dell'alveare,Perché il miele di robinia (acacia) cristallizza molto lentamente?,Alto contenuto di fruttosio,Alto contenuto di glucosio,Presenza di polline di castagno,Bassa umidità,0,Il suo alto tenore di fruttosio rispetto al glucosio ritarda notevolmente la cristallizzazione.,25
q96,bee_products,Prodotti dell'alveare,"Quale miele tipico lombardo è scuro, aromatico e ha un sapore leggermente amaro?",Miele di corbezzolo,Miele di erica,Miele di castagno,Miele di timo,2,Il miele di castagno è caratterizzato da colore ambrato-scuro e gusto deciso e persistente.,25
q97,bee_products,Prodotti dell'alveare,Il processo di cristallizzazione del miele è:,Un difetto da evitare,Sempre indesiderato,Un fenomeno fisico naturale legato al rapporto glucosio/fruttosio,Provocato solo dal riscaldamento,2,È un processo spontaneo e reversibile; non indica cattiva qualità.,25
q98,bee_products,Prodotti dell'alveare,Quale miele ha colore chiaro quasi trasparente e aroma delicato di fiori?,Miele di castagno,Miele di robinia (acacia),Miele di tiglio d'estate,Miele di melata,1,"Il miele di robinia è il classico miele chiaro, molto dolce e fluido.",25
q99,bee_products,Prodotti dell'alveare,"Durante la lavorazione, cosa significa ""decantazione"" del miele?",Riscaldarlo a 70°C,Lasciarlo riposare in vasche per far salire in superficie impurità e schiuma,Filtrarlo a maglia strettissima,Aggiungere zucchero,1,La decantazione permette di ottenere un miele più pulito prima dell'imbottigliamento.,25
q100,bee_products,Prodotti dell'alveare,Il miele di tiglio è noto soprattutto per:,Sapore molto forte e amaro,Note aromatiche fresche e mentolate,Colore nerissimo,Cristallizzazione istantanea,1,Ha un aroma caratteristico leggermente balsamico e mentolato.,25
q101,bee_products,Prodotti dell'alveare,Un miele con umidità superiore al 20% rischia principalmente:,Di cristallizzare troppo velocemente,La fermentazione alcolica,Di perdere aroma,Di diventare tossico,1,Un'umidità elevata favorisce lo sviluppo di lieviti e la fermentazione.,25
q102,bee_products,Prodotti dell'alveare,Quale operazione di lavorazione è sconsigliata per mantenere le proprietà del miele?,Scaldarlo sopra i 40-45°C a lungo,Decantazione naturale,Estrazione con smielatore,Filtrazione grossolana,0,"Il riscaldamento eccessivo (pasteurizzazione forte) distrugge enzimi, aromi e proprietà benefiche.",25
q103,bee_products,Prodotti dell'alveare,Quale tra questi è un miele di melata tipico di alcune zone alpine della Lombardia?,Miele di robinia,Miele di castagno d'estate,Miele di abete o di quercia,Miele di tiglio,2,"Le melate (es. di abete o quercia) sono scure, ricche di minerali e meno dolci.",25
q104,bee_products,Prodotti dell'alveare,"In analisi sensoriale, cosa si valuta principalmente nel miele?",Solo il colore,Solo il prezzo,"Colore, odore, sapore, consistenza e persistenza aromatica",Solo la densità,2,"L'analisi sensoriale professionale prevede esame visivo, olfattivo, gustativo e tattile.",25
q105,bee_products,Prodotti dell'alveare,Qual è la differenza principale tra miele crudo e miele pastorizzato?,Il miele crudo non viene mai scaldato sopra i 40-45°C,Il miele pastorizzato ha più proprietà,Il miele crudo cristallizza sempre,Il miele pastorizzato è più economico,0,"Il miele crudo mantiene enzimi (es. glucosio ossidasi), aromi e polline intatti.",25
q106,bee_products,Prodotti dell'alveare,"Secondo la normativa europea, il miele deve essere etichettato come:","""Miele di apicoltura biologica""","""Miele italiano"" solo se proviene interamente dall'Italia","Miele di fiori o ""di melata""",Solo con il nome del produttore,1,"Per usare la dicitura ""Miele italiano"" deve provenire al 100% da Italia.",25
q108,bee_products,Prodotti dell'alveare,Per conservare correttamente il miele in casa è meglio:,Metterlo in frigorifero,"Tenerlo in luogo fresco, asciutto e al buio",Lasciarlo vicino ai fornelli,Conservarlo in contenitori di plastica trasparente,1,Caldo e luce accelerano la cristallizzazione e degradano gli aromi.,25
q109,bee_products,Prodotti dell'alveare,Un miele DOP (Denominazione di Origine Protetta) garantisce:,Solo il colore,Solo il prezzo basso,Origine geografica e metodo di produzione controllato,Che è sempre liquido,2,Es. Miele della Lunigiana DOP o altri disciplinari regionali.,25
